index,a1,intercept,shape,scale,penalty,score
415,0.03,100,7,0.6,20034.05145,9.22E-07
26,0.001,100,2,2,20047.54962,9.09E-07
195,0.003,300,2,5,20048.449,9.09E-07
284,0.01,100,5,1,20049.97807,9.07E-07
152,0.003,100,2,2,20071.24506,8.88E-07
158,0.003,100,5,1,20071.74222,8.88E-07
32,0.001,100,5,1,20078.16112,8.82E-07
404,0.03,100,2,2,20086.47296,8.75E-07
409,0.03,100,5,0.8,20100.57425,8.63E-07
410,0.03,100,5,1,20135.16826,8.33E-07
334,0.01,300,7,2,20150.56286,8.21E-07
82,0.001,300,7,2,20152.37685,8.19E-07
247,0.003,1000,7,0.6,20159.45058,8.14E-07
328,0.01,300,5,5,20161.99484,8.12E-07
416,0.03,100,7,0.8,20185.13096,7.93E-07
362,0.01,1000,2,2,20190.73591,7.89E-07
290,0.01,100,7,0.8,20195.35935,7.85E-07
20,0.001,100,1,5,20214.51772,7.70E-07
146,0.003,100,1,5,20218.78924,7.67E-07
373,0.01,1000,7,0.6,20234.22862,7.56E-07
272,0.01,100,1,5,20253.74201,7.41E-07
208,0.003,300,7,2,20277.54093,7.24E-07
115,0.001,1000,5,0.8,20298.64068,7.09E-07
417,0.03,100,7,1,20310.07817,7.01E-07
335,0.01,300,7,5,20311.9205,7.00E-07
367,0.01,1000,5,0.8,20334.02511,6.85E-07
241,0.003,1000,5,0.8,20343.39715,6.78E-07
76,0.001,300,5,5,20360.21176,6.67E-07
398,0.03,100,1,5,20379.40753,6.55E-07
38,0.001,100,7,0.8,20388.694,6.49E-07
209,0.003,300,7,5,20399.74283,6.42E-07
121,0.001,1000,7,0.6,20408.83977,6.36E-07
202,0.003,300,5,5,20431.33742,6.22E-07
164,0.003,100,7,0.8,20434.29715,6.21E-07
349,0.01,1000,0.5,5,20440.84091,6.17E-07
236,0.003,1000,2,2,20443.73749,6.15E-07
97,0.001,1000,0.5,5,20452.04347,6.10E-07
83,0.001,300,7,5,20493.85515,5.85E-07
110,0.001,1000,2,2,20497.84803,5.83E-07
368,0.01,1000,5,1,20526.69568,5.67E-07
356,0.01,1000,1,5,20529.95538,5.65E-07
104,0.001,1000,1,5,20536.51159,5.62E-07
291,0.01,100,7,1,20560.01715,5.49E-07
165,0.003,100,7,1,20561.63381,5.48E-07
122,0.001,1000,7,0.8,20567.86439,5.45E-07
223,0.003,1000,0.5,5,20580.51572,5.38E-07
39,0.001,100,7,1,20603.63674,5.26E-07
405,0.03,100,2,5,20608.13785,5.24E-07
230,0.003,1000,1,5,20629.30814,5.13E-07
242,0.003,1000,5,1,20632.15946,5.12E-07
374,0.01,1000,7,0.8,20642.57611,5.07E-07
116,0.001,1000,5,1,20692.85798,4.83E-07
249,0.003,1000,7,1,20766.93909,4.49E-07
248,0.003,1000,7,0.8,20774.87486,4.46E-07
237,0.003,1000,2,5,20805.27717,4.33E-07
243,0.003,1000,5,2,20870.94739,4.07E-07
375,0.01,1000,7,1,20871.83654,4.06E-07
111,0.001,1000,2,5,20904.12126,3.94E-07
369,0.01,1000,5,2,20942.14882,3.80E-07
363,0.01,1000,2,5,20957.66062,3.74E-07
123,0.001,1000,7,1,20962.4415,3.73E-07
250,0.003,1000,7,2,20964.68312,3.72E-07
376,0.01,1000,7,2,20966.07035,3.71E-07
117,0.001,1000,5,2,21009.19972,3.56E-07
279,0.01,100,2,5,21073.10361,3.35E-07
124,0.001,1000,7,2,21086.24019,3.31E-07
411,0.03,100,5,2,21087.39853,3.31E-07
27,0.001,100,2,5,21150.44468,3.12E-07
285,0.01,100,5,2,21152.35622,3.11E-07
159,0.003,100,5,2,21163.5588,3.08E-07
153,0.003,100,2,5,21222.615,2.91E-07
33,0.001,100,5,2,21225.88702,2.90E-07
118,0.001,1000,5,5,21256.77384,2.82E-07
251,0.003,1000,7,5,21292.41573,2.73E-07
418,0.03,100,7,2,21348.34554,2.59E-07
166,0.003,100,7,2,21389.09845,2.49E-07
40,0.001,100,7,2,21393.54813,2.48E-07
370,0.01,1000,5,5,21405.11497,2.45E-07
244,0.003,1000,5,5,21405.21483,2.45E-07
292,0.01,100,7,2,21426.20943,2.40E-07
377,0.01,1000,7,5,21447.98802,2.36E-07
412,0.03,100,5,5,21516.82501,2.21E-07
125,0.001,1000,7,5,21519.92543,2.20E-07
419,0.03,100,7,5,21600.65177,2.04E-07
167,0.003,100,7,5,22187.81537,1.20E-07
41,0.001,100,7,5,22250.83601,1.13E-07
160,0.003,100,5,5,22255.5737,1.13E-07
34,0.001,100,5,5,22276.16094,1.10E-07
293,0.01,100,7,5,22283.56489,1.10E-07
286,0.01,100,5,5,22301.71659,1.08E-07
